ra,dec,parallax,parallax_over_error,bp_rp,phot_g_mean_mag,source_id,pmra,pmdec,ruwe
97.85402966055989,3.928130110924057,0.9956068184672935,10.292258,1.6235886,17.125557,3130403857339259392,-3.212858816968865,-2.793360664811246,1.0682223
97.91482237845467,3.929535356222501,0.5422329054031809,6.0754313,2.1150227,17.166597,3130404578893746432,-1.2697615822919437,-6.575193888726744,0.9639913
97.92131462121331,3.9639034598999463,1.2555760002284044,26.719465,1.2557468,15.99803,3130405059930071040,-2.4584040061730916,3.509500129216091,1.0117089
97.6946068974737,3.9680778010243762,0.7563889161388129,14.435727,1.639677,16.01423,3130416673521403776,-0.09392161640478736,-1.4966213209208101,0.9657226
97.75234173377912,4.046625000036944,0.4490489765387094,5.899545,1.777874,16.953878,3130418833888683392,0.7258285504535477,-1.6922252400514894,1.0081638
97.69482768424452,4.093650089836086,0.6569288259683442,7.3431025,2.1284237,17.371305,3130422961353507072,0.3464826404168528,2.289922418011884,0.9418736
97.70727184541214,4.1033333853064535,0.3259254630072886,5.6048856,2.8462553,16.350828,3130423064432719360,0.4683634321574632,-1.4184753967649024,0.99751437
98.17401779310887,3.914522086000678,1.0095853689570986,17.46066,1.3643131,16.548159,3130447700363918592,5.1073094265730665,-9.68056009992247,0.936691
98.3272782361399,3.9748686303590453,2.1966134305759475,46.333683,1.8207836,16.116676,3130448937314452096,-6.661528477740803,2.202535565723463,0.9863269
98.27141245399075,3.9765065472560512,0.8586506044949938,8.012216,2.0008354,17.706005,3130449826370648704,-3.493226289712361,-4.1489872814558835,0.93279064
98.3731306535475,3.9676175278277657,1.3275814700797217,48.139904,1.1893568,15.094764,3130451823532467456,2.750957041510882,-12.611465653139513,1.0315306
98.36451253492245,4.018054839420814,1.188129192046364,15.043702,1.7199879,17.063519,3130455190786818048,-0.9756391454636075,-4.596702516958518,0.9982198
98.39862468129955,4.085586347683596,0.7744602367947786,13.574461,1.5553961,16.41996,3130458077004823424,1.5495820438712837,-2.904694456814443,1.023444
98.42109994774594,4.122029834006421,0.8759414258573797,9.317765,1.6715069,17.444324,3130458661120363648,5.219686144262639,-6.728561793331108,0.97441584
98.61438836988613,4.093157388249494,0.9609142906324841,7.9439254,1.9692612,17.858408,3130477245443429248,4.833849674349813,-8.720089668884222,1.0085223
98.65068800612097,4.136939324571686,1.1063419120459437,39.465126,0.93597984,14.652944,3130477795199346432,-5.737569803459075,-1.0492599981562283,1.0807049
98.65142753707121,4.146568919687072,0.7675973258298869,17.588598,1.4019117,15.772925,3130478555408837504,-2.108196118034571,-4.193787099523147,1.049542
98.724327360219,4.196385032958013,1.5033266374959906,34.11676,1.2201271,15.110212,3130479861078873216,3.077623883796812,-1.256497146013566,1.0898038
98.5071203896222,4.217653280615563,0.9039992314560293,10.425516,1.5345936,17.195398,3130483090894311936,1.9636014585006458,5.763267626001732,1.0129867
98.60804059891565,4.2168376398092065,0.7972376687169942,21.57345,1.3735962,15.377037,3130483640650109312,5.222381140131679,0.7457566797525597,0.908309
98.62652143451595,4.301251758421009,2.2518637336615925,91.88081,1.1921778,14.273286,3130485221198055936,11.622023184996769,-9.211559816711217,1.0058897
98.60301898620588,4.295638725528754,1.134513231064827,18.562538,1.3190327,16.323298,3130485289917536640,-2.8537373688437153,4.315974251642928,0.97153014
98.6855587959168,4.328514747489318,5.7451182838331585,63.259052,2.6827383,17.074774,3130491195496949120,45.990454871308486,-83.12231579828452,1.026237
98.64858058229234,4.326388217671483,1.0076451815061387,6.476436,2.0800056,17.891758,3130491337231478144,5.035625943210712,-12.790438647114529,1.0334761
98.79340234487812,4.454304479333159,0.6075616234270456,35.343937,2.259839,13.319105,3130494184794167296,-1.1769832202122952,0.7979687922848527,1.1761638
98.07815379352306,3.9275749403311258,0.8454763189591166,20.078363,1.2843723,15.837422,3130494734548682240,0.4862879402734291,-1.905428956775725,1.0310078
98.0899929961148,3.9232333624113758,1.3001309368009513,52.271812,0.96159077,14.773221,3130494738845838080,-0.3622143806387317,-10.67480679640317,0.92574036
98.06335413473656,3.952561477408682,1.696378622672288,116.8686,0.78772545,13.409671,3130495563479478400,-3.480765502336222,-0.7087031224590828,0.96579343
98.05879318034677,4.075768051914926,1.4510678166017796,11.509886,2.338951,17.920439,3130501301555757824,0.4877469508272267,-10.186449596792867,1.0363454
98.07471355351765,4.091060698048251,0.5942082788972383,6.6558976,2.1488094,17.356222,3130501404634963584,-1.5089894632401593,1.1141076939004044,0.973972
98.1107876441029,4.157093005416327,1.7860110341506923,30.149508,1.8563728,16.801502,3130502813384214400,5.288093322387302,-32.28501430622825,0.99485487
98.2898758856687,4.11670188370634,1.4561844889543232,23.156828,1.6187658,16.495466,3130504050334770176,3.820661423275193,-10.97544115806539,1.1131219
98.23107718391266,4.098473982986094,1.2832829498041787,24.554802,1.4816875,16.446878,3130504359572430720,1.3834823250361732,-3.2603052235591417,1.0026842
98.30022747479559,4.169093725927041,2.3077360332987893,80.82735,1.4612713,15.101431,3130506524235922816,17.000652135122078,-41.47080701689386,0.9897476
98.32628421754056,4.248514087750211,2.3237539098517526,32.19612,2.0650892,17.005913,3130510402589487488,5.342078732406204,10.402371142888322,0.9985109
97.90480191478461,4.0437424093943575,0.7564234123841932,18.075563,1.2748575,15.809033,3130511918714700800,-5.397448619440042,3.877400781523725,1.1112926
97.9512868268348,4.134501157665175,0.7642577709063689,50.814568,0.8426037,12.367791,3130512983866578816,0.6657241566851303,-2.789033002185867,1.2049617
98.04774939261792,4.172931589526237,1.2094676368599715,21.645256,1.7146959,16.521027,3130514770572964224,-1.7651404003414537,-4.963127775026,1.0560468
98.06417485784885,4.190714638013976,3.9595119087248154,38.37377,2.6957817,17.773499,3130514908011915136,5.88303215244913,-23.20840583969387,0.9260973
98.04907759428963,4.1907226849647445,1.2803647158581013,106.632126,0.85741234,12.071876,3130515079810608256,-3.5703429976645915,-4.940629877387528,0.9343687
98.0286550076313,4.200939362800724,0.8076301330285285,38.889103,1.5055189,14.495902,3130515148530085760,16.116971661871734,-14.210515631212644,1.1174151
97.94095950099583,4.2311632577264415,1.453999871329934,98.736176,0.9651432,13.462576,3130519134259740032,9.863899791454953,2.0751148549042844,0.95313513
98.05879064870669,4.22246116305316,1.3855912760262437,50.580467,1.1636181,15.322013,3130521058405080320,0.6434625551909229,11.346281695821954,1.0155392
98.08734790842719,4.277433909177142,1.7022367832780732,136.65936,0.7459383,12.724545,3130522467154347520,-3.5487049112746187,4.863253227020861,1.0041761
98.11174917919006,4.312973388497295,1.0876726630412823,77.02312,0.9329281,13.669243,3130524082062046080,1.5194487941921775,-2.254255905864769,1.0957838
98.1087241117874,4.348753463598848,0.676920047782244,14.581935,1.5978651,16.308315,3130524391299687936,-8.976335999429395,1.2691887320960153,0.89389247
98.18068226839951,4.399303014018352,0.5516703953132711,9.257875,2.8535824,16.665672,3130525078494444160,0.7791651807172841,2.464787626454653,1.0079814
98.01830711667345,4.34376098460673,0.46059271120967177,5.7631106,2.552147,17.273874,3130526040567137536,0.01532400533207617,-1.5322967656588313,0.94883376
97.92691388631539,4.325346821636956,1.154887787248864,11.012629,1.9068031,17.594381,3130526487243743488,2.569751892486375,1.7497887700558814,1.0442432
97.92846815079042,4.340052463741817,0.7046286984329222,10.601362,1.4554939,16.892315,3130526586026992384,0.9613046993683967,-1.0219293999214694,0.9552107
97.95290105413558,4.354287395605485,0.8108268341804026,34.73116,1.2869349,14.79292,3130526727761908608,0.9786869770282863,-3.972959155828094,1.0717064
98.14167074659105,4.39490533504578,0.5654921840836294,6.6120825,2.110344,17.37288,3130527895992994688,-2.033031406290206,0.8717512145052742,0.95675987
98.41132299852926,4.244642494066248,0.7974081568910268,5.6073904,2.4949493,17.953445,3130530743558039040,-1.5284349794391217,-0.013496319991538643,0.92990303
98.40127386242317,4.252899100163099,0.7096990263631975,15.464675,1.5299511,15.501414,3130530816570916096,-0.8170452064775111,-12.336689354230568,1.1535285
98.45663216511073,4.305438961603493,0.9520239019242555,19.964485,1.2241096,15.455577,3130531396390353920,4.061211570440494,-3.064534109419566,1.2208542
98.52093200517362,4.290220573673859,0.5808020052528724,6.6877646,1.673523,17.083458,3130532019161732224,-2.518154153907013,-3.292742062932894,0.99126434
98.40096994975285,4.337061648212355,0.6657823613243794,14.044082,1.4463444,16.081343,3130534664861598464,2.83848541057601,2.9379830573961714,0.9984638
98.36682497883332,4.368972162163109,1.1936435090572959,32.27878,1.0236654,15.448541,3130535764373225856,1.123101314789575,-1.6979715998305793,1.012512
98.42625902341044,4.4008132468064565,0.7946603222524771,17.425838,1.1676025,15.687881,3130537374984419072,1.5649680240796449,-0.1294301627942932,1.0060812
98.38634734622688,4.432466064365534,0.8478962092170952,11.622522,2.4316368,16.939201,3130537722878296576,0.9617394900036428,-0.1580147655509808,0.9123342
98.65787383410219,4.389463104541054,3.133101343745259,24.269648,2.5718784,17.730389,3130538959828839424,-18.8754417811114,-12.118262570154117,1.0055659
98.68128955543617,4.3976404746198146,0.5453951582626418,11.038982,4.299965,13.137987,3130538989893034240,1.5461589462782492,-1.5164747207776295,1.1752845
98.68394779904268,4.414493502455713,0.7531037147145845,6.4063935,2.2194042,17.63195,3130539092972253056,2.9500978385297674,-8.766610370611822,0.96427107
98.53043296461257,4.403169100609457,1.213387155296785,36.43809,1.0267897,15.1065035,3130539750102843776,0.5428109635822264,-6.149954217033971,1.0639864
98.74361749315601,4.4529280120686225,1.0665161959096654,9.796838,1.5637054,17.246859,3130541055772851840,0.4266932912084127,-4.406901239336318,0.9715954
98.55028136197483,4.45522643088972,2.2099415965006988,110.46956,0.82483673,12.84684,3130542945558496384,-0.9432865169758354,-17.03543681789715,1.1751125
98.61292852477317,4.516475010570086,0.7228637220666779,7.013523,1.5717907,17.507202,3130545007142775424,2.6075933674219844,-9.101659034430062,1.0135297
98.60769477254865,4.505234979401227,3.983249863590522,48.06731,2.7621145,17.055164,3130545007143063680,2.0014183483024284,-10.767472990789985,1.0225958
98.65924588214497,4.561713940451601,0.6561786063283919,16.447477,1.3425875,15.419822,3130545866136216448,-1.0135760906748816,3.106022994702315,1.0350549
98.23845691529624,4.35370582492134,0.7565545167014389,10.798606,1.6196556,16.988417,3130547373668708992,-1.2184493699256291,6.414094859024887,0.9518651
98.24810419781187,4.443190106885482,1.0139040606166891,30.912958,1.1303425,15.398526,3130549061591816576,8.194455638830494,-8.62468240244324,1.0132334
